Date,Open,High,Low,Close,Adj Close**,Volume
4/24/2023,165,165.6,163.89,165.33,165.33,41949600
4/21/2023,165.05,166.45,164.49,165.02,165.02,58311900
4/20/2023,166.09,167.87,165.56,166.65,166.65,52456400
4/19/2023,165.8,168.16,165.54,167.63,167.63,47720200
4/18/2023,166.1,167.41,165.65,166.47,166.47,49923000
4/17/2023,165.09,165.39,164.03,165.23,165.23,41516200
4/14/2023,164.59,166.32,163.82,165.21,165.21,49337200
4/13/2023,161.63,165.8,161.42,165.56,165.56,68445600
4/12/2023,161.22,162.06,159.78,160.1,160.1,50133100
4/11/2023,162.35,162.36,160.51,160.8,160.8,47644200
4/10/2023,161.42,162.03,160.08,162.03,162.03,47716900
4/6/2023,162.43,164.96,162,164.66,164.66,45390100
4/5/2023,164.74,165.05,161.8,163.76,163.76,51511700
4/4/2023,166.6,166.84,165.11,165.63,165.63,46278300
4/3/2023,164.27,166.29,164.22,166.17,166.17,56976200
3/31/2023,162.44,165,161.91,164.9,164.9,68694700
3/30/2023,161.53,162.47,161.27,162.36,162.36,49501700
3/29/2023,159.37,161.05,159.35,160.77,160.77,51305700
3/28/2023,157.97,158.49,155.98,157.65,157.65,45992200
3/27/2023,159.94,160.77,157.87,158.28,158.28,52390300
3/24/2023,158.86,160.34,157.85,160.25,160.25,59196500
3/23/2023,158.83,161.55,157.68,158.93,158.93,67622100
3/22/2023,159.3,162.14,157.81,157.83,157.83,75701800
3/21/2023,157.32,159.4,156.54,159.28,159.28,73938300
3/20/2023,155.07,157.82,154.15,157.4,157.4,73641400
3/17/2023,156.08,156.74,154.28,155,155,98944600
3/16/2023,152.16,156.46,151.64,155.85,155.85,76161100
3/15/2023,151.19,153.25,149.92,152.99,152.99,77167900
3/14/2023,151.28,153.4,150.1,152.59,152.59,73695900
3/13/2023,147.81,153.14,147.7,150.47,150.47,84457100
3/10/2023,150.21,150.94,147.61,148.5,148.5,68572400
3/9/2023,153.56,154.54,150.23,150.59,150.59,53833600
3/8/2023,152.81,153.47,151.83,152.87,152.87,47204800
3/7/2023,153.7,154.03,151.13,151.6,151.6,56182000
3/6/2023,153.79,156.3,153.46,153.83,153.83,87558000
3/3/2023,148.04,151.11,147.33,151.03,151.03,70732300
3/2/2023,144.38,146.71,143.9,145.91,145.91,52238100
3/1/2023,146.83,147.23,145.01,145.31,145.31,55479000
2/28/2023,147.05,149.08,146.83,147.41,147.41,50547000
2/27/2023,147.71,149.17,147.45,147.92,147.92,44998500
2/24/2023,147.11,147.19,145.72,146.71,146.71,55469600
