Date,4 WEEKS BANK DISCOUNT,4 WEEKS COUPON EQUIVALENT,8 WEEKS BANK DISCOUNT,8 WEEKS COUPON EQUIVALENT,13 WEEKS BANK DISCOUNT,13 WEEKS COUPON EQUIVALENT,26 WEEKS BANK DISCOUNT,26 WEEKS COUPON EQUIVALENT,52 WEEKS BANK DISCOUNT,52 WEEKS COUPON EQUIVALENT,Id
4/25/2023,3.92,4,4.83,4.95,4.97,5.12,4.78,4.98,4.39,4.61,1
4/24/2023,3.4,3.47,4.85,4.97,5.04,5.19,4.85,5.05,4.53,4.77,2
4/21/2023,3.29,3.35,4.79,4.91,4.98,5.12,4.87,5.07,4.54,4.78,3
4/20/2023,3.32,3.38,4.87,4.99,4.97,5.12,4.85,5.05,4.53,4.77,4
4/19/2023,3.68,3.75,4.79,4.91,5.01,5.16,4.89,5.1,4.59,4.84,5
4/18/2023,3.69,3.76,4.79,4.91,5.04,5.19,4.88,5.09,4.57,4.81,6
4/17/2023,3.95,4.03,4.81,4.93,5.06,5.21,4.86,5.07,4.61,4.85,7
4/14/2023,4.18,4.26,4.79,4.91,4.98,5.12,4.83,5.03,4.59,4.82,8
4/13/2023,3.98,4.06,4.79,4.91,4.95,5.1,4.75,4.95,4.48,4.71,9
4/12/2023,4.04,4.12,4.68,4.79,4.87,5.01,4.78,4.98,4.46,4.68,10
4/11/2023,4.09,4.17,4.68,4.79,4.89,5.03,4.79,4.99,4.48,4.71,11
4/10/2023,4.39,4.48,4.69,4.8,4.94,5.09,4.78,4.98,4.46,4.69,12
4/7/2023,4.43,4.52,4.73,4.84,4.81,4.95,4.75,4.95,4.42,4.64,13
4/6/2023,4.44,4.53,4.69,4.8,4.77,4.91,4.74,4.94,4.35,4.57,14
4/5/2023,4.48,4.57,4.61,4.72,4.72,4.86,4.63,4.82,4.25,4.46,15
4/4/2023,4.52,4.61,4.65,4.76,4.74,4.88,4.61,4.8,4.31,4.53,16
4/3/2023,4.56,4.65,4.64,4.75,4.77,4.91,4.69,4.88,4.39,4.61,17
3/31/2023,4.6,4.69,4.65,4.76,4.68,4.81,4.72,4.91,4.43,4.66,18
3/30/2023,4.6,4.69,4.64,4.75,4.8,4.94,4.7,4.89,4.41,4.64,19
3/29/2023,4.2,4.28,4.29,4.39,4.64,4.77,4.7,4.89,4.38,4.6,20
3/28/2023,4.1,4.18,4.2,4.3,4.64,4.77,4.68,4.87,4.34,4.56,21
3/27/2023,4.07,4.15,4.29,4.39,4.75,4.89,4.65,4.84,4.3,4.52,22
3/24/2023,4.15,4.23,4.35,4.45,4.57,4.7,4.56,4.74,4.12,4.32,23
3/23/2023,4.13,4.21,4.36,4.46,4.57,4.7,4.59,4.78,4.18,4.39,24
3/22/2023,3.98,4.06,4.36,4.46,4.63,4.76,4.73,4.93,4.34,4.56,25
3/21/2023,3.91,3.99,4.31,4.41,4.62,4.75,4.74,4.94,4.44,4.67,26
3/20/2023,4.19,4.27,4.4,4.5,4.65,4.78,4.58,4.77,4.2,4.39,27
3/17/2023,4.18,4.26,4.39,4.49,4.36,4.48,4.51,4.69,4.12,4.3,28
3/16/2023,3.93,4.01,4.49,4.6,4.57,4.7,4.72,4.92,4.32,4.52,29
3/15/2023,4.06,4.14,4.38,4.48,4.59,4.72,4.53,4.71,4.04,4.22,30
3/14/2023,4.27,4.36,4.61,4.72,4.71,4.85,4.71,4.91,4.27,4.47,31
3/13/2023,4.45,4.54,4.66,4.77,4.7,4.84,4.59,4.78,4.13,4.32,32
3/10/2023,4.64,4.73,4.76,4.88,4.83,4.97,4.93,5.14,4.68,4.91,33
3/9/2023,4.66,4.75,4.81,4.93,4.87,5.01,5.07,5.29,4.93,5.19,34
3/8/2023,4.59,4.68,4.71,4.82,4.89,5.03,5.09,5.31,4.99,5.25,35
3/7/2023,4.63,4.72,4.71,4.82,4.87,5.01,5.07,5.29,4.96,5.22,36
3/6/2023,4.59,4.68,4.64,4.75,4.76,4.9,4.98,5.19,4.81,5.06,37
3/3/2023,4.59,4.68,4.65,4.76,4.74,4.87,4.94,5.15,4.79,5.03,38
3/2/2023,4.59,4.68,4.67,4.78,4.74,4.88,4.94,5.15,4.8,5.05,39
3/1/2023,4.52,4.6,4.63,4.73,4.73,4.87,4.96,5.17,4.81,5.06,40
2/28/2023,4.52,4.6,4.64,4.74,4.72,4.86,4.93,5.14,4.78,5.03,41
2/27/2023,4.54,4.62,4.66,4.76,4.74,4.88,4.94,5.15,4.79,5.04,42
2/24/2023,4.55,4.63,4.67,4.77,4.72,4.84,4.91,5.1,4.8,5.05,43
2/23/2023,4.53,4.61,4.67,4.77,4.71,4.83,4.9,5.09,4.78,5.03,44
2/22/2023,4.49,4.57,4.64,4.74,4.71,4.83,4.93,5.13,4.82,5.07,45
2/21/2023,4.5,4.58,4.66,4.76,4.72,4.84,4.92,5.12,4.82,5.07,46
2/17/2023,4.51,4.59,4.65,4.75,4.7,4.82,4.84,5.03,4.78,5.02,47
2/16/2023,4.53,4.61,4.65,4.75,4.7,4.82,4.83,5.02,4.77,5.01,48
2/15/2023,4.51,4.59,4.62,4.72,4.66,4.78,4.82,5.01,4.74,4.98,49
2/14/2023,4.5,4.58,4.62,4.72,4.67,4.79,4.83,5.02,4.76,5,50
2/13/2023,4.53,4.61,4.62,4.72,4.68,4.8,4.84,5.03,4.69,4.92,51
2/10/2023,4.53,4.61,4.61,4.71,4.66,4.78,4.75,4.93,4.66,4.89,52
2/9/2023,4.53,4.61,4.61,4.71,4.64,4.76,4.76,4.94,4.66,4.89,53
2/8/2023,4.51,4.59,4.53,4.62,4.59,4.71,4.74,4.92,4.64,4.87,54
2/7/2023,4.49,4.57,4.52,4.61,4.59,4.71,4.75,4.93,4.66,4.89,55
2/6/2023,4.49,4.57,4.51,4.6,4.59,4.71,4.75,4.93,4.63,4.86,56
2/3/2023,4.48,4.56,4.51,4.6,4.57,4.69,4.68,4.86,4.57,4.8,57
2/2/2023,4.49,4.57,4.5,4.59,4.53,4.65,4.62,4.8,4.43,4.64,58
2/1/2023,4.46,4.54,4.5,4.59,4.54,4.66,4.65,4.83,4.45,4.67,59
1/31/2023,4.45,4.53,4.51,4.6,4.58,4.7,4.67,4.85,4.47,4.69,60
1/30/2023,4.47,4.55,4.51,4.6,4.59,4.71,4.68,4.86,4.49,4.71,61
1/27/2023,4.48,4.56,4.51,4.6,4.57,4.69,4.67,4.85,4.46,4.68,62
1/26/2023,4.49,4.57,4.53,4.63,4.55,4.67,4.66,4.84,4.46,4.68,63
1/25/2023,4.47,4.55,4.52,4.61,4.56,4.68,4.65,4.83,4.45,4.67,64
1/24/2023,4.49,4.57,4.54,4.64,4.57,4.69,4.7,4.88,4.47,4.69,65
1/23/2023,4.49,4.57,4.52,4.62,4.58,4.7,4.68,4.86,4.51,4.72,66
1/20/2023,4.48,4.56,4.51,4.6,4.57,4.69,4.66,4.84,4.49,4.7,67
1/19/2023,4.49,4.57,4.53,4.63,4.55,4.67,4.65,4.83,4.47,4.68,68
1/18/2023,4.39,4.47,4.49,4.58,4.54,4.66,4.65,4.83,4.45,4.66,69
1/17/2023,4.4,4.48,4.5,4.59,4.56,4.68,4.68,4.86,4.47,4.68,70
1/13/2023,4.38,4.46,4.46,4.55,4.51,4.62,4.64,4.81,4.48,4.69,71
1/12/2023,4.37,4.45,4.47,4.56,4.5,4.61,4.62,4.8,4.46,4.67,72
1/11/2023,4.2,4.27,4.48,4.57,4.57,4.69,4.7,4.88,4.53,4.75,73
1/10/2023,4.2,4.27,4.47,4.56,4.57,4.69,4.71,4.89,4.53,4.75,74
1/9/2023,4.17,4.24,4.44,4.53,4.55,4.67,4.69,4.87,4.48,4.7,75
1/6/2023,4.14,4.21,4.43,4.52,4.51,4.62,4.65,4.83,4.5,4.72,76
1/5/2023,4.12,4.19,4.44,4.53,4.51,4.62,4.68,4.86,4.56,4.79,77
1/4/2023,4,4.07,4.28,4.37,4.41,4.52,4.64,4.82,4.49,4.71,78
1/3/2023,3.96,4.03,4.29,4.38,4.4,4.51,4.63,4.81,4.5,4.72,79
12/30/2022,3.95,4.02,4.3,4.39,4.3,4.4,4.6,4.77,4.51,4.73,80
12/29/2022,3.88,3.95,4.28,4.37,4.34,4.45,4.57,4.74,4.48,4.7,81
12/28/2022,3.57,3.63,4.08,4.16,4.35,4.46,4.59,4.76,4.49,4.71,82
12/27/2022,3.62,3.68,4.09,4.17,4.35,4.46,4.6,4.77,4.52,4.75,83
12/23/2022,3.65,3.71,4.01,4.09,4.23,4.33,4.52,4.69,4.46,4.67,84
12/22/2022,3.65,3.71,4.02,4.1,4.24,4.34,4.51,4.68,4.45,4.66,85
12/21/2022,3.66,3.72,4.01,4.09,4.22,4.32,4.51,4.68,4.41,4.62,86
12/20/2022,3.69,3.75,4.02,4.1,4.25,4.36,4.55,4.72,4.44,4.65,87
12/19/2022,3.77,3.83,4.03,4.11,4.28,4.39,4.55,4.72,4.44,4.65,88
12/16/2022,3.78,3.84,4.03,4.11,4.2,4.3,4.52,4.69,4.41,4.62,89
12/15/2022,3.79,3.85,4.06,4.14,4.22,4.32,4.54,4.71,4.44,4.65,90
